tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,director,language,mood
tt13835440,tvMiniSeries,Catch Me a Killer,Catch Me A Killer,0,2024,2024.0,47,Crime,7.1,1757,nm5382226,Hindi,"Intense,Gritty"
tt13859494,movie,Guthlee Ladoo,Guthlee Ladoo,0,2023,,105,Drama,7.6,1639,nm2198421,Hindi,"Thought-Provoking,Emotional"
tt5323568,movie,Puthiya Niyamam,Puthiya Niyamam,0,2016,,132,"Mystery,Thriller",6.5,1916,nm1465835,Hindi,"Mysterious,Suspenseful,Intense"
tt29402528,movie,Doraemon the Movie: Nobita's Earth Symphony,Eiga Doraemon: Nobita no Chikyû Symphony,0,2024,,115,"Adventure,Animation,Comedy",6.6,1883,nm2217976,Hindi,"Whimsical,Fun,Light-Hearted"
tt4328756,movie,Ebar Shabor,Ebar Shabor,0,2015,,124,"Crime,Mystery,Thriller",7.2,1724,nm1908800,Hindi,"Mysterious,Intense,Gritty"
tt12503708,movie,A (Ad Infinitum),A (Ad Infinitum),0,2021,,153,"Family,Thriller",6.8,1824,nm9298864,Malayalam,"Intense,Heartwarming,Suspenseful"
tt15662702,movie,Nenu Leni Naa Premakatha,Nenu Leni Naa Premakatha,0,2021,,123,Drama,7.7,1605,nm13021677,Hindi,"Thought-Provoking,Emotional"
tt10091306,tvSeries,The President,El Presidente,0,2020,2022.0,240,"Comedy,Drama,Sport",7.2,1712,nm3174584,Hindi,"Fun,Inspiring,Light-Hearted"
tt7329602,movie,Tamizh Padam 2.0,Thamizh Padam 2,0,2018,,143,Comedy,6.5,1896,nm5451439,Hindi,"Light-Hearted,Fun"
tt23029874,tvSeries,Hokkaido Gals Are Super Adorable!,Dosanko gal wa namara menkoi,0,2024,2024.0,24,"Animation,Comedy,Romance",6.9,1784,nm10873136,Hindi,"Whimsical,Fun,Romantic"
tt11718526,movie,Ninnila Ninnila,Ninnila Ninnila,0,2021,,118,"Comedy,Romance",7.5,1639,nm4410287,Tamil,"Light-Hearted,Romantic,Heartwarming"
tt0254942,movie,Akkare Akkare Akkare,Akkare Akkare Akkare,0,1990,,156,Comedy,7.7,1595,nm0698184,Malayalam,"Light-Hearted,Fun"
tt5868220,tvSeries,Novine,Novine,0,2016,2020.0,60,"Crime,Drama",8.0,1532,nm0558094,Hindi,"Emotional,Intense,Gritty"
tt15137580,movie,Wheel Chair Romeo,Wheel Chair Romeo,0,2022,,147,"Comedy,Drama,Romance",8.3,1476,nm12799861,Hindi,"Fun,Romantic,Light-Hearted"
tt0053496,tvSeries,Danger Man,Danger Man,0,1960,1966.0,24,"Action,Adventure,Crime",7.9,1548,nm0294243,Hindi,"Gritty,Action-Packed,Intense"
tt8093952,movie,Padi Padi Leche Manasu,Padi Padi Leche Manasu,0,2018,,158,"Drama,Romance",6.5,1880,nm2380725,Hindi,"Thought-Provoking,Emotional,Heartwarming"
tt2717168,movie,Celluloid,Celluloid,0,2013,,129,"Biography,Drama",7.7,1581,nm0436382,Tamil,"Thought-Provoking,Emotional,Inspiring"
